"","PID","county","state","area","poptotal","percwhite","percblack","percamerindan","percasian","percother"
"1",561,"ADAMS","IL",0.052,66090,96.7120593,2.57527614,0.14828264,0.37675897,0.18762294
"2",562,"ALEXANDER","IL",0.014,10626,66.3843403,32.9004329,0.1788067,0.45172219,0.08469791
"3",563,"BOND","IL",0.022,14991,96.5712761,2.86171703,0.23347342,0.10673071,0.22680275
"4",564,"BOONE","IL",0.017,30806,95.2541713,0.41225735,0.14932156,0.48691813,3.69733169
"5",565,"BROWN","IL",0.018,5836,90.1987663,9.37285812,0.23989034,0.08567512,0.10281014
"6",566,"BUREAU","IL",0.05,35688,98.5121049,0.14010312,0.18213405,0.54640215,0.61925577
"7",567,"CALHOUN","IL",0.017,5322,99.5490417,0.01878993,0.15031943,0.28184893,0
"8",568,"CARROLL","IL",0.027,16805,98.2981256,0.6605177,0.1785183,0.36298721,0.49985123
"9",569,"CASS","IL",0.024,13437,99.6055667,0.1190742,0.0595371,0.17116916,0.04465282
"10",570,"CHAMPAIGN","IL",0.058,173025,84.6733131,9.57029331,0.19130183,4.64268169,0.92241006
"11",571,"CHRISTIAN","IL",0.042,34418,99.2968795,0.23824743,0.14817828,0.25858562,0.05810913
"12",572,"CLARK","IL",0.03,15921,99.5038,0.06281012,0.16330632,0.22611645,0.04396709
"13",573,"CLAY","IL",0.028,14460,99.6058091,0.02766252,0.1175657,0.20055325,0.04840941
"14",574,"CLINTON","IL",0.029,33944,96.2997879,3.00789536,0.14140938,0.30638699,0.24452039
"15",575,"COLES","IL",0.03,51644,97.159399,1.79110836,0.17814267,0.66028968,0.21106034
"16",576,"COOK","IL",0.058,5105067,62.7797245,25.8007779,0.20154486,3.69368316,7.52426951
"17",577,"CRAWFORD","IL",0.026,19464,99.1574188,0.32367448,0.17468146,0.24660912,0.09761611
"18",578,"CUMBERLAND","IL",0.02,10670,99.5970009,0.04686036,0.05623243,0.24367385,0.05623243
"19",579,"DE KALB","IL",0.038,77932,93.6303444,2.65487861,0.1578299,2.24683057,1.31011651
"20",580,"DE WITT","IL",0.023,16516,99.2189392,0.15136837,0.22402519,0.2603536,0.14531364
"21",581,"DOUGLAS","IL",0.025,19464,99.054665,0.08220304,0.09761611,0.21064529,0.55487053
"22",582,"DU PAGE","IL",0.02,781666,91.4591398,1.97808271,0.12307047,5.07045209,1.3692549
"23",583,"EDGAR","IL",0.036,19595,99.3569788,0.3470273,0.12248022,0.12248022,0.05103343
"24",584,"EDWARDS","IL",0.014,7440,99.4758065,0.08064516,0.10752688,0.25537634,0.08064516
"25",585,"EFFINGHAM","IL",0.028,31704,99.4290941,0.03785011,0.14193793,0.29964673,0.09147111
"26",586,"FAYETTE","IL",0.044,20893,96.4342124,2.86698894,0.19145168,0.16752022,0.33982674
"27",587,"FORD","IL",0.03,14275,99.17338,0.30122592,0.09807356,0.28021016,0.14711033
"28",588,"FRANKLIN","IL",0.025,40319,99.3774647,0.08928793,0.26290335,0.2083385,0.06200551
"29",589,"FULTON","IL",0.052,38080,97.4711134,1.75420168,0.21796218,0.27573529,0.28098739
"30",590,"GALLATIN","IL",0.019,6909,99.0302504,0.60790274,0.14473875,0.15921262,0.0578955
"31",591,"GREENE","IL",0.033,15317,99.4385323,0.09140171,0.32643468,0.11098779,0.03264347
"32",592,"GRUNDY","IL",0.026,32337,98.5372793,0.06494109,0.13915948,0.34944491,0.90917525
"33",593,"HAMILTON","IL",0.025,8499,99.5646547,0.03529827,0.12942699,0.24708789,0.02353218
"34",594,"HANCOCK","IL",0.047,21373,99.5274412,0.12164881,0.11697001,0.17311561,0.0608244
"35",595,"HARDIN","IL",0.009,5189,97.5525149,1.63808056,0.30834458,0.25052997,0.25052997
"36",596,"HENDERSON","IL",0.023,8096,99.2712451,0.09881423,0.35820158,0.12351779,0.14822134
"37",597,"HENRY","IL",0.051,51159,97.6739186,1.28423151,0.12314549,0.25020036,0.66850408
"38",598,"IROQUOIS","IL",0.067,30787,97.9439374,0.53269237,0.13966934,0.22412057,1.15958034
"39",599,"JACKSON","IL",0.036,61067,85.1376357,10.3853145,0.17849248,3.56657442,0.7319829
"40",600,"JASPER","IL",0.029,10609,99.6700914,0.00942596,0.10368555,0.1602413,0.05655575
"41",601,"JEFFERSON","IL",0.033,37020,94.1545111,5.19719071,0.15126958,0.34846029,0.14856834
"42",602,"JERSEY","IL",0.023,20539,99.0603243,0.46740348,0.20935781,0.15580116,0.1071133
"43",603,"JO DAVIESS","IL",0.035,21821,99.592136,0.06415838,0.09165483,0.1328995,0.11915128
"44",604,"JOHNSON","IL",0.02,11347,90.1559884,9.21829558,0.22913545,0.12338063,0.27319996
"45",605,"KANE","IL",0.029,317471,84.9447666,5.98668855,0.19529343,1.40926258,7.46398884
"46",606,"KANKAKEE","IL",0.039,96255,83.3141136,14.9592229,0.15583606,0.66905615,0.90177134
"47",607,"KENDALL","IL",0.018,39413,96.4630959,0.53281912,0.18521808,0.5683404,2.25052648
"48",608,"KNOX","IL",0.042,56393,92.9423865,5.07155143,0.15072793,0.56744631,1.26788786
"49",609,"LAKE","IL",0.028,516418,87.2676785,6.73311155,0.23198262,2.43756027,3.32966705
"50",610,"LA SALLE","IL",0.068,106913,97.0929634,1.07844696,0.19268003,0.48918279,1.14672678
"51",611,"LAWRENCE","IL",0.022,15972,98.6664162,0.94540446,0.19408966,0.13148009,0.06260957
"52",612,"LEE","IL",0.043,34392,94.5859502,3.5531519,0.24424285,0.52628518,1.09036985
"53",613,"LIVINGSTON","IL",0.062,39301,93.0027226,5.38154245,0.1577568,0.33332485,1.12465332
"54",614,"LOGAN","IL",0.036,30798,94.8860316,4.19183064,0.12013767,0.46431586,0.33768427
"55",615,"MCDONOUGH","IL",0.034,35244,93.6102599,3.55805243,0.18442856,2.27556464,0.37169447
"56",616,"MCHENRY","IL",0.036,183241,97.6282601,0.16917611,0.16317309,0.70562811,1.33376264
"57",617,"MCLEAN","IL",0.068,129180,93.7118749,4.30639418,0.15714507,1.25716055,0.5674253
"58",618,"MACON","IL",0.035,117206,87.1943416,12.0599628,0.13395219,0.43171851,0.18002491
"59",619,"MACOUPIN","IL",0.05,47679,98.7373896,0.79489922,0.19715179,0.18456763,0.08599174
"60",620,"MADISON","IL",0.045,249238,92.3683387,6.47413316,0.27403526,0.56973656,0.31375633
"61",621,"MARION","IL",0.035,41561,95.394721,3.65486875,0.2550468,0.55821563,0.13714781
"62",622,"MARSHALL","IL",0.023,12846,99.2682547,0.13233691,0.23353573,0.21796668,0.14790596
"63",623,"MASON","IL",0.033,16269,99.4529473,0.04917327,0.1659598,0.23357305,0.09834655
"64",624,"MASSAC","IL",0.014,14752,93.5737527,5.89750542,0.25081345,0.210141,0.06778742
"65",625,"MENARD","IL",0.018,11164,99.4356861,0.08061627,0.25976353,0.12540308,0.09853099
"66",626,"MERCER","IL",0.033,17290,99.2192019,0.1735107,0.19086177,0.20242915,0.21399653
"67",627,"MONROE","IL",0.023,22422,99.2864151,0.05797877,0.23637499,0.25421461,0.1650165
"68",628,"MONTGOMERY","IL",0.041,30728,97.4876334,1.81918771,0.15946368,0.21478782,0.31892736
"69",629,"MORGAN","IL",0.033,36397,94.9556282,4.14869357,0.131879,0.35717229,0.40662692
"70",630,"MOULTRIE","IL",0.021,13930,99.6697775,0.05743001,0.15793252,0.09332376,0.02153625
"71",631,"OGLE","IL",0.045,45957,97.6891442,0.14361251,0.1893074,0.2959288,1.68200709
"72",632,"PEORIA","IL",0.038,182827,84.3956308,13.6150569,0.17065313,1.21699749,0.60166168
"73",633,"PERRY","IL",0.026,21412,97.6134878,1.86344106,0.12142724,0.29422754,0.1074164
"74",634,"PIATT","IL",0.025,15548,99.7427322,0.05145356,0.10290713,0.07074865,0.03215848
"75",635,"PIKE","IL",0.049,17577,99.5562383,0.04551402,0.13654207,0.1820561,0.07964954
"76",636,"POPE","IL",0.022,4373,93.1168534,6.0827807,0.34301395,0.13720558,0.32014635
"77",637,"PULASKI","IL",0.011,7523,66.8882095,32.7794763,0.10634056,0.09304799,0.13292569
"78",638,"PUTNAM","IL",0.01,5730,98.0104712,0.15706806,0.12216405,0.12216405,1.58813264
"79",639,"RANDOLPH","IL",0.036,34583,91.1777463,8.24682648,0.15614608,0.24000231,0.17927884
"80",640,"RICHLAND","IL",0.022,16545,99.3774554,0.10275008,0.14505893,0.25989725,0.11483832
"81",641,"ROCK ISLAND","IL",0.028,148723,89.7157803,7.05203634,0.2380264,0.6838216,2.31033532
"82",642,"ST CLAIR","IL",0.04,262852,71.4721592,27.1160197,0.2225587,0.76354755,0.42571485
"83",643,"SALINE","IL",0.022,26551,95.8607962,3.50645927,0.24857821,0.15065346,0.23351286
"84",644,"SANGAMON","IL",0.051,178386,90.8215891,8.05220141,0.16256881,0.77192156,0.19171908
"85",645,"SCHUYLER","IL",0.026,7498,99.7465991,0.02667378,0.12003201,0.08002134,0.02667378
"86",646,"SCOTT","IL",0.015,5644,99.8228207,0.01771793,0.10630758,0.05315379,0
"87",647,"SHELBY","IL",0.044,22261,99.6810566,0.06289026,0.12128835,0.12128835,0.01347648
"88",648,"STARK","IL",0.017,6534,99.4184267,0.12243649,0.12243649,0.32139578,0.01530456
"89",649,"STEPHENSON","IL",0.033,48052,92.6579539,6.41180388,0.12070257,0.63264796,0.1768917
"90",650,"TAZEWELL","IL",0.039,123692,99.1486919,0.15037351,0.1786696,0.3492546,0.17301038
"91",651,"UNION","IL",0.024,17619,98.2632385,0.6924343,0.19297349,0.30081162,0.55054203
"92",652,"VERMILION","IL",0.052,88257,89.4614591,8.88428113,0.18695401,0.57445868,0.89284703
"93",653,"WABASH","IL",0.012,13111,98.8101594,0.30508733,0.08389902,0.61017466,0.19067958
"94",654,"WARREN","IL",0.033,19181,97.1273656,1.85600334,0.10426985,0.36494448,0.54741671
"95",655,"WASHINGTON","IL",0.033,14965,99.2716338,0.3073839,0.20715002,0.17373872,0.04009355
"96",656,"WAYNE","IL",0.042,17241,99.4199872,0.05220115,0.17980396,0.25520561,0.09280204
"97",657,"WHITE","IL",0.029,16522,99.243433,0.24815398,0.22394383,0.21183876,0.07263043
"98",658,"WHITESIDE","IL",0.041,60186,94.9307148,0.69285216,0.14122886,0.31070349,3.92450071
"99",659,"WILL","IL",0.05,357313,84.9171455,10.7359654,0.19366774,1.33608349,2.81713792
"100",660,"WILLIAMSON","IL",0.025,57733,97.2320856,1.98673203,0.1939965,0.43649213,0.15069371
"101",661,"Winnebago","IL",0.03,252913,87.9507973,9.19525687,0.25740077,1.18064315,1.41590191
"102",662,"WOODFORD","IL",0.032,32653,99.188436,0.19600037,0.16537531,0.31237559,0.13781276
"103",663,"ADAMS","IN",0.021,31095,98.1829876,0.11577424,0.13506995,0.19295707,1.37321113
"104",664,"ALLEN","IN",0.041,300836,87.7840418,10.0765866,0.29650707,0.87888418,0.96398037
"105",665,"BARTHOLOMEW","IN",0.022,63657,97.0419593,1.57877374,0.15237916,0.95826068,0.26862717
"106",666,"BENTON","IN",0.024,9441,99.4492109,0.06355259,0.16947357,0.0105921,0.30717085
"107",667,"BLACKFORD","IN",0.01,14067,99.3673136,0.04976185,0.3127888,0.11374138,0.1563944
"108",668,"BOONE","IN",0.024,38147,99.1270611,0.21757936,0.23592943,0.24641518,0.17301492
"109",669,"BROWN","IN",0.019,14080,99.2045455,0.09232955,0.33380682,0.12784091,0.24147727
"110",670,"CARROLL","IN",0.022,18809,99.5268223,0.10101547,0.11696528,0.01594981,0.23924717
"111",671,"CASS","IN",0.024,38413,98.3130711,0.85908416,0.35925338,0.29677453,0.17181683
"112",672,"CLARK","IN",0.022,87777,93.7477927,5.35789558,0.21873612,0.40557321,0.27000239
"113",673,"CLAY","IN",0.021,24705,99.2592593,0.45739729,0.16595831,0.06071645,0.05666869
"114",674,"CLINTON","IN",0.023,30974,98.976561,0.11622651,0.16465423,0.19693937,0.54561891
"115",675,"CRAWFORD","IN",0.018,9914,99.5360097,0.09078071,0.2622554,0.11095421,0
"116",676,"DAVIESS","IN",0.026,27533,99.4152472,0.35956852,0.09443214,0.0726401,0.05811208
"117",677,"DEARBORN","IN",0.019,38835,98.9828763,0.64889919,0.13647483,0.19312476,0.03862495
"118",678,"DECATUR","IN",0.022,23645,99.149926,0.16493973,0.08035525,0.54556989,0.05920914
"119",679,"DE KALB","IN",0.022,35324,99.108255,0.10474465,0.25761522,0.24912241,0.28026271
"120",680,"DELAWARE","IN",0.023,119659,92.9574875,5.98952022,0.22898403,0.53568892,0.28831931
"121",681,"DUBOIS","IN",0.026,36616,99.590343,0.09012454,0.0819314,0.15020756,0.08739349
"122",682,"ELKHART","IN",0.027,156198,93.7944148,4.54935403,0.29001652,0.63829242,0.72792225
"123",683,"FAYETTE","IN",0.012,26015,97.8743033,1.67211224,0.14222564,0.2652316,0.04612723
"124",684,"FLOYD","IN",0.009,64404,95.3589839,4.10222968,0.14284827,0.27172225,0.12421589
"125",685,"FOUNTAIN","IN",0.025,17808,99.5395328,0.02246181,0.14038634,0.15161725,0.1460018
"126",686,"FRANKLIN","IN",0.023,19580,99.5709908,0.05107252,0.17364658,0.13789581,0.06639428
"127",687,"FULTON","IN",0.021,18840,98.4872611,0.8014862,0.24946921,0.1910828,0.27070064
"128",688,"GIBSON","IN",0.029,31913,97.5965907,1.86757748,0.11907373,0.325886,0.09087206
"129",689,"GRANT","IN",0.024,74169,91.4357751,6.80472974,0.40178511,0.50290553,0.85480457
"130",690,"GREENE","IN",0.033,30410,99.4672805,0.03288392,0.15455442,0.21374548,0.13153568
"131",691,"HAMILTON","IN",0.024,108936,98.0061688,0.62054784,0.14962914,1.09238452,0.13126974
"132",692,"HANCOCK","IN",0.017,45527,99.2224394,0.09664595,0.12959343,0.38658379,0.16473741
"133",693,"HARRISON","IN",0.028,29890,99.1669455,0.41485447,0.19404483,0.12044162,0.10371362
"134",694,"HENDRICKS","IN",0.024,75717,98.4177926,0.90468455,0.20735106,0.36319453,0.1069773
"135",695,"HENRY","IN",0.024,48139,98.5604188,0.98464862,0.16203079,0.16203079,0.13087102
"136",696,"HOWARD","IN",0.016,80827,93.3104037,5.44125107,0.27960954,0.56540512,0.40333057
"137",697,"HUNTINGTON","IN",0.023,35427,98.8285771,0.1467807,0.4346967,0.37541988,0.21452564
"138",698,"JACKSON","IN",0.03,37730,98.8311688,0.36575669,0.17492711,0.50092764,0.12721972
"139",699,"JASPER","IN",0.034,24960,98.7940705,0.44471154,0.24038462,0.16025641,0.36057692
"140",700,"JAY","IN",0.022,21512,99.0749349,0.13945705,0.14875418,0.31145407,0.32539978
"141",701,"JEFFERSON","IN",0.021,29797,97.9326778,1.21824345,0.19465047,0.40943719,0.24499111
"142",702,"JENNINGS","IN",0.021,23661,98.6729217,0.88331009,0.13101729,0.21554457,0.09720637
"143",703,"JOHNSON","IN",0.018,88109,98.1227797,0.95903937,0.15775914,0.60606748,0.15435427
"144",704,"KNOX","IN",0.031,39884,98.0518504,1.21853375,0.1730017,0.44629425,0.11031993
"145",705,"KOSCIUSKO","IN",0.032,65294,98.1070236,0.4732441,0.18072105,0.49315404,0.7458572
"146",706,"LAGRANGE","IN",0.022,29477,98.9110154,0.14926892,0.20015605,0.31210775,0.42745191
"147",707,"LAKE","IN",0.03,475594,70.270651,24.5352128,0.18187782,0.58285008,4.42940828
"148",708,"LA PORTE","IN",0.036,107066,89.9314442,8.94775185,0.24190686,0.40255543,0.4763417
"149",709,"LAWRENCE","IN",0.027,42836,99.2996545,0.25445887,0.20543468,0.17975535,0.06069661
"150",710,"MADISON","IN",0.026,130669,91.631527,7.55343655,0.22882244,0.31759637,0.26861765
"151",711,"MARION","IN",0.023,797159,77.1538677,21.2823289,0.21300644,0.95075136,0.40004566
"152",712,"MARSHALL","IN",0.026,42182,98.4021621,0.18017164,0.17068892,0.35797259,0.88900479
"153",713,"MARTIN","IN",0.021,10369,99.5370817,0.11572958,0.13501784,0.13501784,0.07715305
"154",714,"MIAMI","IN",0.024,36897,94.2732471,3.0219259,1.54755129,0.60709543,0.55018023
"155",715,"MONROE","IN",0.024,108978,94.2869203,2.60144249,0.19820514,2.48949329,0.42393878
"156",716,"MONTGOMERY","IN",0.03,34436,98.649669,0.58369149,0.19746777,0.40074341,0.16842839
"157",717,"MORGAN","IN",0.024,55920,99.4903433,0.01609442,0.24499285,0.16273247,0.08583691
"158",718,"NEWTON","IN",0.024,13551,99.1513541,0.06641576,0.28780164,0.1771087,0.31731975
"159",719,"NOBLE","IN",0.025,37877,98.8885075,0.15312723,0.21913034,0.25873221,0.48050268
"160",720,"OHIO","IN",0.005,5315,98.8711195,0.77140169,0.1505174,0.16933208,0.03762935
"161",721,"ORANGE","IN",0.023,18409,98.9353034,0.68987995,0.21728502,0.11407464,0.043457
"162",722,"OWEN","IN",0.023,17281,99.340316,0.25461489,0.2661883,0.10416064,0.03472021
"163",723,"PARKE","IN",0.027,15410,98.780013,0.76573653,0.27255029,0.10382868,0.07787151
"164",724,"PERRY","IN",0.022,19107,98.492699,1.09907364,0.16747789,0.16747789,0.07327158
"165",725,"PIKE","IN",0.02,12509,99.6802302,0.02398273,0.12790791,0.15189064,0.01598849
"166",726,"PORTER","IN",0.026,128932,97.9811063,0.3521236,0.18847144,0.7321689,0.74612974
"167",727,"POSEY","IN",0.025,25968,98.5366605,1.08980283,0.14633395,0.13093038,0.09627234
"168",728,"PULASKI","IN",0.026,12643,98.940125,0.51411848,0.16609982,0.1581903,0.22146642
"169",729,"PUTNAM","IN",0.029,30315,96.308758,2.72472373,0.25399967,0.50799934,0.20451921
"170",730,"RANDOLPH","IN",0.026,27148,99.259614,0.20627671,0.18049212,0.13628997,0.21732724
"171",731,"RIPLEY","IN",0.025,24616,99.5328242,0.06499838,0.17874553,0.15437114,0.06906077
"172",732,"RUSH","IN",0.023,18129,98.7423465,0.78327542,0.08274036,0.33096144,0.06067626
"173",733,"ST JOSEPH","IN",0.028,247052,87.8292829,9.79146091,0.34243803,1.01476612,1.02205204
"174",734,"SCOTT","IN",0.011,20991,99.3282836,0.07622314,0.11909866,0.23819732,0.23819732
"175",735,"SHELBY","IN",0.024,40307,98.6007393,0.81871635,0.16622423,0.35229613,0.06202397
"176",736,"SPENCER","IN",0.024,19490,98.9994869,0.56952283,0.18984094,0.1693176,0.07183171
"177",737,"STARKE","IN",0.019,22747,98.6767486,0.32092144,0.37807183,0.21101684,0.41324131
"178",738,"STEUBEN","IN",0.021,27446,98.9069445,0.18581943,0.23318516,0.4809444,0.19310646
"179",739,"SULLIVAN","IN",0.027,18993,99.5366714,0.07897647,0.20533881,0.07897647,0.10003686
"180",740,"SWITZERLAND","IN",0.013,7738,99.4443009,0.19384854,0.20677178,0.12923236,0.02584647
"181",741,"TIPPECANOE","IN",0.03,130598,93.4263924,2.03678464,0.24502672,3.69148073,0.60031547
"182",742,"TIPTON","IN",0.016,16119,99.1997022,0.06203859,0.12407718,0.3163968,0.29778522
"183",743,"UNION","IN",0.01,6976,99.1255734,0.28669725,0.21502294,0.30103211,0.07167431
"184",744,"VANDERBURGH","IN",0.013,165058,91.6138569,7.51856923,0.17206073,0.55556229,0.13995081
"185",745,"VERMILLION","IN",0.016,16773,99.5051571,0.08942944,0.19078281,0.16693495,0.0476957
"186",746,"VIGO","IN",0.024,106107,92.7469441,5.57550397,0.27990613,1.09417852,0.30346725
"187",747,"WABASH","IN",0.023,35069,98.2691266,0.39350994,0.73854401,0.35073712,0.24808235
"188",748,"WARREN","IN",0.021,8176,99.5596869,0.01223092,0.20792564,0.1834638,0.03669276
"189",749,"WARRICK","IN",0.023,44920,98.5618878,0.82591273,0.18477293,0.34951024,0.0779163
"190",750,"WASHINGTON","IN",0.03,23717,99.6120926,0.09697685,0.11805878,0.07589493,0.09697685
"191",751,"WAYNE","IN",0.024,71951,93.8583202,5.27442287,0.21264472,0.41139109,0.24322108
"192",752,"WELLS","IN",0.021,25948,99.2677663,0.03853862,0.15415446,0.15800832,0.3815323
"193",753,"WHITE","IN",0.03,23265,99.4068343,0.0085966,0.21491511,0.17623039,0.1934236
"194",754,"WHITLEY","IN",0.02,27651,99.356262,0.10487867,0.26400492,0.13381071,0.14104372
"195",1197,"ALCONA","MI",0.041,10145,98.8270084,0.26614096,0.55199606,0.25628388,0.09857072
"196",1198,"ALGER","MI",0.051,8972,93.8698172,2.37405261,3.38831922,0.26749889,0.10031208
"197",1199,"ALLEGAN","MI",0.049,90509,95.8578705,1.5998409,0.59994034,0.45409849,1.48824979
"198",1200,"ALPENA","MI",0.034,30605,99.2386865,0.1143604,0.30387192,0.2777324,0.0653488
"199",1201,"ANTRIM","MI",0.031,18185,98.4052791,0.12647787,1.16029695,0.1319769,0.17596921
"200",1202,"ARENAC","MI",0.021,14931,98.4193959,0.06697475,0.93094903,0.25450405,0.32817628
"201",1203,"BARAGA","MI",0.054,7954,87.6414383,0.61604224,11.5413628,0.12572291,0.07543374
"202",1204,"BARRY","MI",0.034,50057,98.7454302,0.20776315,0.37557185,0.28767205,0.38356274
"203",1205,"BAY","MI",0.026,111723,96.4411983,1.11167799,0.64982143,0.38309032,1.41421193
"204",1206,"BENZIE","MI",0.02,12200,97.2377049,0.24590164,1.94262295,0.28688525,0.28688525
"205",1207,"BERRIEN","MI",0.033,161378,82.5756919,15.4122619,0.42446926,0.92143911,0.66613789
"206",1208,"BRANCH","MI",0.029,41502,97.0507445,1.69871332,0.53250446,0.3758855,0.34215219
"207",1209,"CALHOUN","MI",0.042,135982,87.3181745,10.5771352,0.51183245,0.78539807,0.80745981
"208",1210,"CASS","MI",0.03,49477,90.6016937,7.52875073,0.94791519,0.38603796,0.5356024
"209",1211,"CHARLEVOIX","MI",0.022,21468,97.7874045,0.07918763,1.7607602,0.19098193,0.18166574
"210",1212,"CHEBOYGAN","MI",0.048,21398,97.3782597,0.07010001,2.23385363,0.26638004,0.05140667
"211",1213,"CHIPPEWA","MI",0.078,34604,81.9356144,6.31140909,11.0391862,0.43925558,0.27453474
"212",1214,"CLARE","MI",0.034,24952,98.8497916,0.16030779,0.64123116,0.21240782,0.13626162
"213",1215,"CLINTON","MI",0.034,57883,97.850837,0.37662181,0.47682394,0.34379697,0.95192025
"214",1216,"CRAWFORD","MI",0.034,12260,96.2642741,2.15334421,1.18270799,0.34257749,0.05709625
"215",1217,"DELTA","MI",0.069,37780,97.4563261,0.04235045,2.14134463,0.26204341,0.09793542
"216",1218,"DICKINSON","MI",0.046,26831,98.8856174,0.08572174,0.50314934,0.39506541,0.13044613
"217",1219,"EATON","MI",0.034,92879,94.2613508,3.56377653,0.4715813,0.60185833,1.10143305
"218",1220,"EMMET","MI",0.027,25040,96.3338658,0.53115016,2.72763578,0.27555911,0.13178914
"219",1221,"GENESEE","MI",0.037,430459,78.2074483,19.5737573,0.72759543,0.67416409,0.81703484
